,0888cc58-7f72-4448-9375-c07e40b5b269,0e3ebbc4-2f1a-48ca-b56c-516afe3297c2,1360b55e-29fa-41ad-ac96-e7c529a6849e,145f036d-6dce-432d-b966-e9dfef2fe42e,14ef1088-3bbd-46a7-b945-a0842055eee0,16de79fb-d97d-40ee-925d-e890131446b1,219d6b20-df3d-48b3-b222-6874047bd793,24e350d7-8cf2-4bf3-9c71-8a24a6c15fb2,27f417d4-dda0-490a-a300-dcddb5563eaf,2cbc745b-2abc-48b6-9838-7ae25ba1472a,2ebf99e4-0d99-4f57-9a9e-6093f2c8ed6d,330fed1d-8a7b-4483-8413-1463a840096f,342d0342-194a-47c6-916b-bfcd2067e23d,36187163-3710-44a6-bcb5-7cbb16f016bc,3a1454c4-0dd8-4433-8ce7-d775d824ea0e,3bc1ee26-66dc-486d-966d-673ffbafb6e9,3c277ebd-a7a3-46e6-a468-50bf96173b53,3cccb497-b82f-4a56-b205-fbf2039f33cd,415aaa73-1c8b-456b-9288-83975231ff27,475f1941-2bde-4eba-816c-e9da24bdbb4c,4efff68b-2ff7-4076-83ea-5e32e29a8725,53fe0c95-44d0-4ab8-82c7-660ca1b33825,5a30d2bd-9cab-44ef-9071-0b34d386a9c0,5bdeef52-fafe-4416-8df4-37f5790aead8,5da4b3aa-8df9-458a-969b-b5e290ab39cf,5f3f2338-c62f-4db1-95c0-23d8748d4a90,67df23bb-863d-4864-807d-15fa5912252a,6b5b668c-db41-4cc0-ae24-eb793c6eeea8,6b5c5237-5e13-483f-b46b-f05cc7763b1f,74649c2f-03d6-4e5b-add2-ee9efb7eec05,809f50ee-cba5-4a90-ad28-df38cc6b8ec7,884600f4-73bf-41eb-997e-90bd412cf86e,8b0438ab-495b-4737-ad45-0529818d312e,93e583ea-e4b9-42a8-80a1-c448452cc479,9ee608a6-975b-4c69-b558-f37b56edd657,ab12c5d6-f9b2-492d-9a1a-a237c59eb7af,adc59475-909e-4799-b31a-3dc912055ebb,ba59b815-c886-4950-b752-c66089e24256,c0770fc6-0b17-4a9d-87a4-1d0e80efcb9e,c15935e6-682a-44f2-8513-3683196e249e,c3ec475e-8010-486e-a4e3-af7c083613a6,c83428a3-08d8-4665-929a-c3ef3f18c6f1,cbb9943b-cf5c-4dfe-8ed3-bfb0b6dc1dd9,cbeadf0f-75e9-4856-a2f8-5a7406ea9318,cc5dbfd2-e659-4b9f-ab3b-04d5b5cf3540,ccef2232-6eff-447b-bd93-92979ac19e26,cd6c9a82-aedb-4651-9fdb-b5ac4747b241,e99cf2f9-4c86-4337-945a-6b0e46e81143,ea52d9c9-6bd5-4538-b34f-2fdf152ad88e,ef96abb0-da56-4dc3-9d8a-45f4ffb565e9,ffea52b8-a88d-4f11-988d-ffa3fa386f3c
USH2A,64.77704813853731,45.277286448127946,77.10951649631944,154.6485198326537,40.24911295874596,47.17666684319229,58.94402372504369,57.95869300428957,50.36080072022454,61.461367367473386,39.66610178467405,43.682412752210986,61.938992744796906,47.85807339935391,31.381771964200603,53.051845575385265,43.26367632261823,73.78197320341047,45.377588306942755,106.12407986019171,40.17571360482974,38.801938251337184,51.21612031986443,32.34973256368162,66.39246941693587,58.62638351956787,26.43785415453053,35.3727161997564,48.86670550230366,71.50161520944765,38.22718847640735,54.04654980670444,40.55245458878356,49.01768786739395,66.26489434941482,63.834295397977016,27.926388815336548,80.20192765979982,57.26462956098078,34.46194990202828,71.628554784727,34.49923211354128,51.507599428056984,45.97744002541969,29.79653656728274,46.36212466239475,55.496319440766825,47.169464597786366,65.58052216279192,72.57670920934173,42.65206799766986
MUC17,55.91345546430828,40.89183687793921,48.253386677897105,69.05369551484523,38.25085983013968,62.31382045342879,60.712711448024145,49.68919772583702,51.07341896539622,91.14381975152664,43.71587000772092,52.607777075875624,35.57205025619429,45.81385554853654,37.013406331157434,34.851477504035934,50.33824664841721,63.606443461781424,38.764301256404856,92.44304064013477,41.79406190777006,48.19512879904541,42.14346880044922,42.23710254790482,70.55941601740717,55.266442057977116,65.23871692286096,33.21337825507124,58.77216256053906,94.56959359865235,48.050817716010386,71.01495051589808,32.8879764160876,60.34561662104303,54.80080016845652,73.26454692215906,31.377833929950164,83.056854074542,74.3387379799256,42.97992559837159,30.890292693198568,36.85435530287078,63.02533866778971,68.80290587492104,36.96967782691093,50.47413490559416,36.57541938653752,46.055520460447816,32.31943567066751,97.91871973046958,48.19660279357058
TAF1L,42.63787001287001,44.368404118404115,71.86036036036036,144.7041505791506,50.69449806949807,77.54971042471043,68.20238095238095,47.73793436293436,48.420366795366796,91.19530244530245,35.5207528957529,68.01737451737452,97.04520592020592,53.986647361647364,32.93194980694981,31.715250965250966,64.04440154440154,59.61920849420849,36.7752574002574,78.0408622908623,52.13980051480051,57.707368082368085,61.26367438867439,49.836550836550835,92.52155727155727,51.80550193050193,42.05228442728443,43.31740669240669,45.93902831402831,110.73970398970398,39.13465250965251,68.56306306306307,47.0770592020592,71.47554697554698,41.96122908622909,90.81451093951094,41.0712676962677,100.07947232947232,87.11486486486487,39.52493564993565,37.45672458172458,51.83252895752896,72.27879665379665,54.157335907335906,48.27686615186615,65.23825611325611,48.84234234234234,47.59491634491634,65.03056628056628,79.55871943371943,56.48246460746461
SACS,37.12956344140924,50.956471789634925,47.82014296655604,67.31995149348991,40.91070972683176,64.52367883584375,49.43962215981619,39.1886009701302,46.62701046719428,47.847778912432986,28.070525912688282,56.9803420985448,34.7627648710748,29.778401838141434,26.137094715343377,27.204557058973705,54.92787847842737,37.34363032933367,31.409177942302783,55.9307505744192,43.66026295634414,47.66064590247638,50.45717385754404,52.30763339290273,72.34254531529231,45.14443451621138,39.321419453663516,29.38939239213684,40.106203727342354,77.55291039060505,51.20768445238703,49.82888690324228,27.980022976767934,60.51085014041358,49.52948685218279,73.82084503446515,46.012956344140925,75.45219555782487,67.00823334184325,38.22644881286699,32.22868266530508,44.8354608118458,56.10920347204493,52.65330610160837,38.61392647434261,50.78318866479449,38.37567015573143,50.177495532295126,37.06388817972938,67.57390860352311,46.158092928261425
LAMA2,36.75767634854772,39.52313278008299,57.9908713692946,74.29211618257261,28.05746887966805,65.28817427385893,40.554253112033194,40.34253112033195,52.2905601659751,50.11452282157676,31.73485477178423,35.24906639004149,21.460062240663902,31.4847510373444,28.21908713692946,28.078526970954357,37.40632780082988,51.003526970954354,33.17385892116182,61.97002074688797,36.379045643153525,54.00684647302904,38.34253112033195,41.88558091286307,87.4856846473029,49.23744813278008,30.96576763485477,38.97168049792531,41.15778008298755,105.83682572614107,44.90394190871369,56.6646265560166,40.08547717842324,63.044190871369295,37.77323651452282,81.72728215767634,27.38278008298755,84.26535269709544,58.79948132780083,33.8399377593361,36.46649377593361,46.852074688796684,60.70280082987552,52.644087136929464,24.43350622406639,57.14626556016597,59.00767634854772,52.18485477178423,21.84948132780083,82.54585062240663,52.53329875518672
ERBB4,41.05117007251154,42.137442320369146,53.2866677653263,79.57292353328938,29.27010547132498,42.46498022412656,37.183586025049436,35.917682926829265,33.41034937376401,50.62969676994067,29.62475280158207,36.880767963085034,26.2139090309822,32.65746539222149,27.815837178642056,33.09261700725116,40.19874752801582,48.452043506921555,28.79812129202373,60.29358932102834,29.693226763348715,35.02653263019117,35.713826631509555,27.187129202373104,56.86008569545155,44.61486486486486,25.004284772577456,27.16817732366513,45.96366183256427,60.11997363216875,29.685234014502306,44.6977587343441,27.138348714568227,44.0640243902439,44.171061305207644,51.170731707317074,25.148566249176007,58.86412326961108,46.70888266315096,36.36577125906394,33.42427488464074,31.684657218193802,43.46794660514173,37.07663150955834,26.59352340145023,38.85538892551088,27.6225280158207,36.73360250494397,25.118243243243242,50.54194133157548,38.6411502966381
TG,46.000710059171595,37.884970414201184,56.29550295857988,108.34284023668638,30.723076923076924,47.75704142011834,77.80461538461539,61.855621301775145,43.96473372781065,60.00355029585799,37.102130177514795,43.203668639053255,67.4319526627219,46.091952662721894,25.92532544378698,51.72994082840237,42.74698224852071,50.27254437869823,37.10792899408284,98.72082840236686,38.80710059171598,38.0207100591716,47.766508875739646,75.02934911242603,66.16497041420118,44.57751479289941,27.67869822485207,30.721656804733726,66.47349112426035,101.70840236686391,49.915976331360945,62.327218934911244,33.10248520710059,54.22520710059172,47.4796449704142,68.0196449704142,33.291005917159765,75.18840236686391,81.24378698224852,32.1610650887574,26.39266272189349,31.890414201183432,59.882130177514796,55.63514792899408,30.211124260355028,48.945325443786984,30.358461538461537,44.18224852071006,28.64662721893491,69.49952662721894,43.75976331360947
AKAP9,87.23189800336782,52.78862962072007,72.08275198460429,52.38409109133189,54.54999599069842,78.5896880763371,54.94419052201106,63.167508619998394,49.660251784139206,104.2642129740999,60.17632908347366,72.47887098067517,45.44687675406944,57.54285943388662,51.847405981877955,49.715499959906985,70.73354181701548,87.33317296127015,54.1112180258199,97.34736588886216,53.01178734664421,64.40413759923021,64.62112100072167,68.25443027824554,79.72159409830807,82.35105444631546,117.03271590089007,48.20351214818378,81.15740518001765,91.86320263010184,68.28433966802983,65.7380322347847,51.934006895998714,81.36380402533878,79.03568278405902,68.17079624729372,46.25523213856146,77.09028947157405,69.0946195172801,54.70106647422019,42.95421377596023,59.67171838665704,60.60861197979312,62.87138160532435,51.01603720631866,53.60420174805549,49.019324833613986,70.72640526020368,48.63563467244006,102.64894555368454,69.34504049394596
MYH4,54.045711436170215,53.787234042553195,52.714926861702125,140.3356050531915,42.06515957446808,62.293550531914896,61.62849069148936,51.19813829787234,58.69115691489362,49.94797207446808,47.88148271276596,55.905751329787236,37.925698138297875,44.609042553191486,24.25880984042553,48.0390625,33.65990691489362,66.89727393617021,41.2250664893617,100.10704787234043,27.42087765957447,49.326961436170215,48.2250664893617,43.70445478723404,87.80402260638297,64.40757978723404,29.1860039893617,36.3139960106383,63.622672872340424,102.19365026595744,31.923869680851062,59.69315159574468,27.75249335106383,60.137300531914896,61.43234707446808,95.82795877659575,33.13015292553192,95.55834441489361,64.40907579787235,31.996343085106382,32.525265957446805,45.687998670212764,65.74501329787235,50.7608045212766,37.99152260638298,59.509640957446805,38.847573138297875,49.69182180851064,37.118184840425535,69.92952127659575,40.0126329787234
DNAH9,38.75592727272727,42.235490909090906,39.63338181818182,94.2613090909091,29.795127272727274,43.567418181818184,45.731781818181815,38.592,40.741454545454545,36.15505454545455,38.16698181818182,39.913745454545456,28.183054545454546,33.428,20.33869090909091,35.48632727272727,24.9848,49.643418181818184,31.119781818181817,71.7088,27.583709090909093,37.6312,37.674763636363636,32.623127272727274,62.24450909090909,43.61941818181818,21.620072727272728,28.81978181818182,45.972581818181816,74.27338181818182,22.624872727272727,43.917745454545454,21.812072727272728,43.19309090909091,45.55287272727273,59.53956363636364,26.299272727272726,59.127345454545456,46.22458181818182,30.995854545454545,25.075272727272726,32.173745454545454,48.06043636363636,36.9624,29.749963636363635,42.408145454545455,29.355781818181818,36.618618181818185,27.649236363636362,50.63730909090909,30.924363636363637
TENM3,33.11609765051395,52.57479809104258,51.261747430249635,58.75376284875183,38.93153450807636,49.77220998531571,47.809838472834066,35.45282672540382,44.707323788546255,43.21108663729809,25.318465491923643,52.13830763582966,34.187408223201174,28.098201174743025,24.33223201174743,25.64491556534508,32.463013950073424,63.635921439060205,27.585077092511014,58.58480176211454,30.976138032305432,46.27881791483113,45.87665198237885,48.73660058737151,64.56470264317181,40.767070484581495,35.67566079295154,33.198604992657856,60.29102422907489,68.38968428781205,38.36545521292217,57.643080029368576,24.828010279001468,59.55212922173275,33.85820484581498,65.55194566813509,34.02790014684288,69.94511747430249,63.68768355359765,30.550936123348016,16.542125550660792,41.21787812041116,48.41226138032305,46.117933186490454,22.547356828193834,44.563234214390604,20.71696035242291,28.540290014684288,20.13059838472834,55.15482745961821,40.46989720998531
COL12A1,35.98686343086241,37.53595496033439,54.05988228269214,65.86232193124627,26.823594643009468,61.20796724387955,53.79058261537149,37.62953168984048,48.954789729591404,47.18868890215815,29.336688560948563,31.76934231851915,20.13128038897893,29.716881344365778,28.077283971679606,26.38027808581421,33.696067559498424,42.381387016975175,30.783331911626718,56.557280559583724,34.34035656401945,49.23082828627484,36.13691034718076,23.453382240040945,78.31672780005118,46.55054167022093,28.882367994540648,30.45585600955387,39.33003497398277,99.71415166766187,42.300435042224684,54.229548750319886,39.66032585515653,59.8160880320737,35.15866245841508,77.19517188432995,25.514288151497055,75.07327475902073,55.07506610935767,41.90113452188007,32.84329949671586,43.94122664846882,58.81003156188689,49.315277659302225,38.81583212488271,52.95291307685746,55.61989251897978,50.60829139298814,37.36662970229463,73.57510876055618,50.66501748699138
FREM2,19.92128189172371,25.56365899191039,24.09514623522091,43.4261356565028,22.034909769757313,28.591412570006224,29.0392034847542,21.3352209085252,26.71798382078407,25.17093963907903,14.674051026757933,28.178282514001246,19.1196017423771,15.642937149968887,13.755444928438083,14.05556938394524,28.126633478531424,19.603795892968265,16.0261356565028,31.39415059116366,20.917921593030492,26.776602364654636,26.380336029869323,30.44872433105165,41.26172993154947,24.687118855009334,21.245924082140636,15.709583074051027,21.088487865588053,46.12750466708152,26.25787181082763,28.91636589919104,14.518232731798381,33.59452395768513,24.468201617921594,44.131238332296206,24.01860609831985,49.740385812072184,47.7261356565028,19.217548226509024,16.340074673304294,23.8326695706285,35.38624766645924,31.209271935283137,18.975606720597387,28.678344741754824,21.338705662725577,26.403422526446796,18.850466708151835,39.78114499066584,23.86838830118233
CDH10,54.161431064572426,53.16463059918557,50.96422338568935,110.97149505526468,39.43542757417103,56.29813845258872,54.39412449098313,41.47673065735893,45.338859802210585,69.8609656777196,42.06195462478185,49.77894124490983,34.20855148342059,58.576207097149506,36.544502617801044,43.21262361838278,54.28359511343805,61.29755671902269,32.77254217568354,85.37143688190808,46.604421175101805,48.653868528214076,81.73298429319372,37.67946480511925,80.33333333333333,61.57009889470623,35.266433973240254,35.14892379290285,58.38307155322862,82.90372309482257,44.88568935427574,59.203606748109365,35.083769633507856,64.39034322280395,102.14485165794066,73.30366492146597,39.23414776032577,79.59889470622456,68.09511343804537,41.473821989528794,30.07911576497964,42.96451425247237,62.64717859220477,48.52094240837696,36.49883653286795,56.217568353694006,81.20738801628853,48.24840023269343,33.21582315299593,89.97789412449099,61.2216404886562
RYR2,80.94577949523004,55.21621784808598,93.9781427363845,161.4330998671658,50.83896872358411,58.73179567685062,73.20667793744717,74.64267600531336,63.10318802077044,76.15746890472165,49.544559835768624,54.963349836976214,79.03882381354909,60.01267962806424,40.05917159763314,67.73028619731916,53.65632170027774,93.12154329187297,56.88491728052168,130.03151793261682,49.90454051443062,49.41866924284507,65.44058688564184,38.73264098538824,80.49849052046854,74.45737229803164,34.1552348750151,43.956043956043956,61.9112426035503,89.71899529042386,48.43110735418428,65.76669484361793,50.067383166284266,62.48496558386668,72.86958096848207,74.53043110735419,35.798212776234756,92.27967636758845,71.238195870064,42.16682767781669,89.10548242965825,44.398079942035984,61.976754015215555,58.60970897234633,38.73034657650042,57.103972950126796,85.36752807631929,59.76820432314938,83.78390291027654,88.72726723825625,54.057360222195385
CDH9,61.958103280285805,59.02111075024359,58.15914257875934,122.0701526469633,45.401753816174086,62.582656706722965,61.138681390061706,44.66872361156219,53.39493341994154,79.68074050016239,45.94738551477752,60.543033452419614,32.65410847677818,66.14745047093211,39.73660279311465,45.96394933419941,62.14647612861319,70.5625202987983,36.15362130561871,94.35173757713544,52.92172783371225,48.748294900941865,93.21760311789542,44.696005196492365,90.22507307567392,72.20266320233843,40.650535888275414,37.12601493991556,65.67262098083793,99.10977590126664,52.70769730431959,70.44235141279636,41.06820396232543,71.28483273790192,119.29230269568042,88.58557973367977,45.83176355959727,89.97596622279961,70.9045144527444,45.87723286781423,31.71776550828191,46.73920103929847,74.83825917505683,56.31016563819422,44.04936667749269,64.94835985709646,94.30984085742124,57.615784345566745,37.19746670997077,108.75251705099058,68.26469632997727
PXDNL,42.183142559833506,36.451821019771074,39.05723204994797,81.82497398543184,30.13818938605619,43.84308012486993,27.53590010405827,38.43329864724245,36.08366285119667,33.72445369406868,33.676378772112386,40.5429760665973,37.20998959417274,42.401040582726324,24.888033298647244,34.931945889698234,40.470759625390215,48.8149843912591,24.462851196670137,53.31612903225806,35.206867845993756,37.36441207075963,42.50176899063476,52.70946930280957,59.293444328824144,32.25639958376691,25.32944849115505,23.06035379812695,44.20978147762747,70.81456815816857,45.47950052029136,47.262018730489075,32.0942767950052,49.3159209157128,44.09302809573361,59.760874089490116,32.8054110301769,57.9363163371488,53.2414151925078,29.33069719042664,25.313423517169614,32.27721123829345,46.46951092611862,38.320707596253904,27.443704474505722,43.387721123829344,28.882206035379813,30.203746097814776,26.086368366285118,43.3633714880333,41.00645161290323
RELN,60.82585386943364,42.35054042369217,55.558408992650236,65.65931690445309,44.39394725464764,62.14673584089927,55.13800259403372,52.17639429312581,50.91958495460441,94.57120622568094,51.395503674881105,56.91543450064851,37.55278858625162,45.47081712062257,42.993428447903156,38.967315175097276,56.96766104626027,67.2654561175962,43.28819714656291,101.6925205361003,43.090877648076095,51.122870730652835,50.63657587548638,39.696065715520966,80.47859922178988,63.358581928231736,31.09217466493731,39.37751837440553,64.59308257674016,95.2569822741029,53.4400345871163,64.85092952875054,40.29770860354518,66.29191526156507,63.0234327712927,73.85948984003458,36.81798530047557,95.44824902723735,69.86502377864245,49.299265023778645,33.91750972762646,45.347946389969735,61.346217034154776,63.99360138348465,38.61098140942499,53.586251621271074,39.242196281885,51.82498919152616,37.936100302637264,103.93610030263727,55.49571984435798
HMCN1,89.7489565026362,64.10967706502636,110.79217926186291,187.5416300527241,56.534050966608085,66.96677284710017,79.64026801405976,80.20672231985941,69.39795694200352,82.6693211775044,54.68870826010545,60.01548769771529,86.43837873462215,66.18332601054482,44.74934094903339,73.67080404217926,60.24104789103691,102.74247583479789,75.9220672231986,143.07227592267137,55.22599956063269,54.13351274165202,73.69337653778558,43.47336335676626,92.45611818980667,85.51274165202109,37.99286028119508,49.029382688927946,68.09281634446397,97.47369288224957,53.80096660808436,75.01005052724078,56.427943760984185,67.96611379613357,81.44189367311073,83.0199362917399,59.4295913884007,105.375,77.36423550087873,46.410808435852374,98.60341608084359,48.37186950790861,67.84407952548331,62.54624340949034,42.6830514059754,62.15707381370826,77.63406195079087,66.02306678383128,91.10391036906854,67.85286687170475,61.149604569420035
IGHG1,17.521573119511263,23.533409698358152,24.600610920198548,38.914089347079035,11.77548682703322,28.739213440244367,18.804123711340207,19.284077892325314,25.6200840015273,19.74074074074074,14.73463153875525,15.368079419625811,11.03741886216113,23.674684994272624,16.61015654830088,11.343260786559755,16.387934326078657,20.227185948835434,12.405116456662848,35.411607483772436,22.735777014127528,25.08209240168003,15.371897670866742,44.48453608247423,38.34478808705613,20.508209240168004,19.331806032836962,14.661702940053456,17.33867888507064,53.182894234440624,17.85605192821688,33.38106147384498,11.548682703321878,36.09736540664376,13.460481099656358,43.262695685376094,16.815578465063002,48.888888888888886,46.35891561664758,13.717067583046964,14.348224513172967,17.259641084383354,32.00840015273005,38.38640702558229,17.691485299732722,24.909125620465826,19.135547919053074,16.026727758686523,16.14623902252768,35.828178694158076,18.459335624284076
PRUNE2,20.392085187539735,20.693022886204705,18.474570883661794,70.68928798474253,23.401621106166562,35.221392244119514,32.14812460267006,21.98339160839161,24.848776223776223,47.61101398601399,15.738080101716465,32.24141767323586,21.250079465988556,25.433169103623648,15.199936427209154,14.797600127145582,31.174904640813732,22.18825492689129,17.388588684043228,39.35155753337572,24.4360298792117,27.096630642085188,29.719882390336934,33.01978703115067,48.27026382708201,25.31190400508582,19.084472345835984,17.26660839160839,22.385171646535284,77.94826764144946,19.25389383343929,43.66878575969485,21.282422123331216,33.24896694214876,19.582803560076286,46.77511125238398,14.739589955499046,53.290686586141135,45.38453591862683,18.540924984106802,19.389144945963128,23.923792116973935,40.8923235855054,33.84464399237127,14.001668785759694,32.08073744437381,21.295772409408773,22.295692943420217,20.262952956134775,40.13731722822632,26.58884297520661
PEG3,28.409377507738164,22.780580075662044,27.014903129657228,70.96285681531583,17.451106270778403,26.338644961595783,28.42691734495013,24.376934540868966,24.083457526080476,40.097328900607586,23.790324429668694,27.165997936489738,18.06408345752608,21.315602430356527,19.933165195460276,23.025679238793995,16.847414880201764,33.833428866215755,19.24292101341282,48.84603920669495,27.446520692422332,24.27983491917918,28.68703427719821,47.88570445947495,38.14043333715465,29.382781153272955,17.249914020405825,20.500171959188354,29.542932477358708,47.44204975352516,22.19993121632466,34.767740456265045,13.511865183996331,32.83927547861974,31.344720852917575,44.540983606557376,21.16874928350338,47.12254958156598,36.840077954832054,20.457296801559096,15.349994268027055,20.834231342428065,36.081508655279144,30.651381405479768,18.85429324773587,29.5947495127823,19.026481715006305,18.214948985440788,25.60518170354236,56.22618365241316,23.99094348274676
CNTNAP2,36.99322958771221,25.054264349232014,32.56487469684721,39.59731204527082,25.70038399353274,35.91087308003234,30.991814874696846,29.550727566693613,29.93795472918351,54.501010509296684,29.429163298302345,18.98403395311237,22.39824171382377,26.661580436540017,24.022433306386418,22.622473726758287,32.575889248181085,39.231002425222314,25.343977364591755,59.10458771220695,24.566996766370252,30.780517380759903,30.18795472918351,40.57396928051738,47.994139046079226,35.945432497978985,17.651374292643492,23.27223120452708,36.67663702506063,52.74727162489895,30.66350040420372,38.02981002425222,17.103476151980598,37.457255456750204,36.49939369442199,43.03263945028294,21.216855295068715,53.63955133387227,41.06841147938561,24.430274858528698,19.468472109943413,26.438358932902183,36.25626515763945,32.753738884397734,22.176131770412287,30.080234438156833,22.768795472918352,29.29345189975748,22.952202910266774,58.78294260307195,31.404810024252225
