,020a0464-00bf-4cdc-b7a6-2169c68e5c05,17c029f3-4cb6-4441-9a85-f943b4be347a,24ff29eb-0900-44dd-960b-c13fa8cb056f,26050fc8-c758-435f-9189-6bdcffb151d4,26a1a5ad-8447-44a1-b3bc-c3330c547d67,2a4d0841-45fa-46d3-a6c4-7c10d4d2ead5,34ae1f01-93bb-4e1c-ac62-e961ec4e99cc,3d52eda9-5f36-4a55-8a3c-07a576a0ef1f,43d8e327-d379-49c4-9c59-f01fc764c6e8,4773fada-2d3f-4dcc-8820-e4a2b47887b1,4b061402-3207-4989-b747-8b4a8192b1e5,4bc4bd6b-b302-4eb7-9b15-22eb544f00a4,4e03bcdc-3e4b-47d4-8e44-8490459da69e,4fb6af1e-b200-45b9-b677-2fc7cbc8073c,52e366ad-f963-4e8b-9b35-47976e870ce9,5b270643-22e8-4f78-b89a-3a5a22fa1b87,5cca592a-a346-4b63-bf58-5efc38498d2d,66cf8ce5-2aa9-48fb-8a4e-3bb62f060451,6b3d5511-d1cd-427b-b3eb-385958335291,6e22fb7f-db0e-4eb4-a71b-7595a6139779,6e4ea82b-2b70-48d0-a11a-cb49e542fd05,6fd2a2c2-74df-44e5-ac5d-7bdb901738ea,7550f68c-2fcf-4624-ae6c-17da1f4856e1,760dcea6-0c2c-4bfd-b4b8-dbaded34dc7f,78c6064a-2e72-4b0e-9024-bd0b8974028e,7c01cb09-108d-44e8-ac00-ae43dabfe1dc,810c44b5-8901-4877-8ca6-bedfd040e0c2,828d2930-ac60-4d93-8510-f19dd771642b,893f38ec-fbd4-4657-9fc2-d894e96df2c3,89a351c6-cec0-4133-9e22-86a2497261eb,8a384b99-fd76-4225-a6c2-3510c98101e8,8a8b0b5e-0aed-419d-850f-dd0217ba9fd1,8b66e77d-4dbd-4ba4-a18a-b155eafa11ae,8e24912d-86d0-4cfb-9be3-08e586cc2bf5,92aba12c-0819-45f3-bd93-81c9de986a19,9403cdad-f2eb-40cf-a363-ddc0558fea22,95bb13e7-1a03-43e6-a7a8-e2740f827923,b30284d2-c8da-4cae-84ed-bedaf3cb50fc,b445deaa-6873-44f0-85e4-e5d00968d82e,b78e3d4a-f483-478e-acaa-623eabab4a48,b8785d94-4204-445b-a55c-d72f845028cd,bb096f76-89c6-4e3e-ae9d-c2955969c315,bd9f30b9-1683-4ab9-bc15-ae329cf19f0c,bf4ca940-e12c-40b7-b3c5-a17e30587caa,c338023c-5f90-4af6-bff1-dd71a917c8e3,c5560f1a-ae37-4315-ae3f-4181343e9f47,ccee73be-f21a-43a9-b3e2-76f67a6a1c87,d020c985-ab53-4515-9a59-3e176663a23b,d66c4882-862b-4432-a7f5-a4457d900d7f,dd3fdf41-7e71-4907-969f-95c049d4e3eb,dec125ab-84d8-45e4-9d23-b05eb83c0df0,e605c546-2389-42c8-b97c-f8aa54e60cac,e6d86842-96b5-4bec-a7b1-e27df40b5941,f9513b93-9cc3-4881-ac24-32b25fa441ae,fb30bdc3-29f8-43c0-a6c8-13f557984b58,fc2dd59b-e4d0-47b1-8c51-29a3aad76012,fc810e11-6cb5-4a66-ab2a-7dbc40572d38
MYH4,90.27809175531915,71.37067819148936,80.08078457446808,97.07563164893617,56.2079454787234,83.11918218085107,66.11153590425532,87.90109707446808,64.78873005319149,75.96010638297872,49.990525265957444,76.46858377659575,116.16971409574468,79.78656914893617,59.5811170212766,58.027426861702125,100.46609042553192,69.81399601063829,72.71126994680851,104.78673537234043,84.65990691489361,85.3419215425532,109.52061170212765,94.70578457446808,101.68018617021276,77.73587101063829,113.64943484042553,77.7782579787234,79.97041223404256,30.581781914893618,94.71858377659575,78.0420545212766,73.01030585106383,55.82729388297872,50.608377659574465,84.26978058510639,67.12965425531915,110.87666223404256,50.079953457446805,77.91805186170212,91.75,85.74684175531915,66.9940159574468,129.80867686170214,69.94680851063829,60.26363031914894,76.11402925531915,58.150764627659576,63.40625,98.32729388297872,65.19498005319149,64.27809175531915,59.875,80.53623670212765,154.19248670212767,59.41904920212766,45.4389960106383
ZFHX4,76.89785291390255,47.413938226692345,68.46066053213497,85.43533775590271,51.31057850060632,99.20971538626151,41.7185961908838,40.675440473642915,59.899778871531495,63.59134032384621,100.93779870176189,36.67822241244026,78.05150153363293,55.004208574078035,63.591696982666384,51.700049932234826,48.790141950210426,42.82502318282331,64.61209786718025,54.852628575504674,72.70468649689707,45.2159212497325,37.29067693844069,97.68692488765247,45.474926884941866,35.968899350880946,49.49290248947857,71.88836578928597,66.7547613952493,25.575647335758614,66.57636065339896,48.971181967330054,76.35287823667879,84.38155360582067,43.31813966759398,80.11619944361225,55.0018546258649,68.97389257436336,43.84578072615736,45.449818104001714,31.027962051501532,39.81553605820672,40.50674085170126,70.33711391682716,58.628290177616094,49.56409158998502,51.13274841286825,56.46037520507882,44.30059205364149,57.40894500320993,29.58192453099365,43.498751694129396,74.14501747628219,84.12083600827448,66.49197517654612,42.923033026606745,39.500249661174124
IDH1,56.68975650713686,34.89084802686818,46.43031066330814,33.00461796809404,31.24349286314022,28.06045340050378,41.80982367758186,30.811922753988245,32.04324097397145,35.393366918555834,32.67716204869857,36.03778337531486,45.62594458438287,53.56297229219144,39.40134340890008,36.568010075566754,45.5424013434089,43.49328295549958,33.272879932829554,31.09823677581864,27.631402183039462,40.175482787573465,35.87153652392947,44.559193954659946,35.884550797649034,47.256087321578505,38.843408900083965,45.18303946263644,45.424013434089,36.348866498740556,36.965155331654074,27.306045340050378,31.374475230898405,35.57976490344249,34.266162888329134,30.94080604534005,43.14609571788413,37.48908480268682,33.88581024349286,39.702770780856426,31.97900923593619,43.070109151973135,31.543240973971454,36.149874055415616,33.16582703610411,31.148614609571787,27.212426532325775,29.18975650713686,37.37531486146096,63.05457598656591,31.10159529806885,33.31738035264484,40.424433249370274,36.054995801847184,27.894206549118387,31.239294710327457,29.239714525608733
CNTNAP2,26.02495957962813,35.45947857720291,34.06436944219887,20.498181083265965,28.406224737267582,28.952202910266774,28.534660468876314,27.614793856103475,28.349434114793855,27.72413096200485,25.555881164106708,31.189773645917544,36.06154001616815,31.29537186742118,32.87429264349232,26.092663702506062,32.69351253031528,38.86721907841552,22.46867421180275,41.0732619240097,34.78223524656427,31.63621665319321,36.258084074373485,35.38742926434923,31.008690379951496,32.691794664510915,25.554264349232014,31.50262732417138,42.42451495553759,16.804870654810024,38.20038399353274,30.12348423605497,21.19058205335489,18.244037995149554,45.631871463217465,21.608023443815682,38.48787388843977,34.61610751818917,24.047392886014553,30.103476151980598,21.03274050121261,26.364187550525465,18.739288601455133,18.157538399353275,21.156224737267582,30.257174616006466,35.44381568310428,20.176333872271623,32.61519805982215,50.35064672594988,38.826798706548104,48.1857316087308,50.7265561843169,29.76677445432498,29.712004850444625,18.618936944219886,25.769401778496363
THSD7B,66.65504827360498,49.75797741777123,76.42906234658813,47.7934871543119,42.97529045982654,38.92505318278514,55.81590574374079,43.51333660612011,46.38782523318606,46.8433971526755,45.32482408771069,53.65979381443299,49.337260677466865,78.4748813614793,53.54360988381607,51.77434135166094,77.15267550319096,47.43462608411062,63.7596138111602,44.91212567501227,38.451644575355914,54.20340369824906,50.64032073310424,54.925871379479624,47.167893961708394,66.13663884797906,50.569628538700705,65.48388152511863,64.36442480772378,37.57650139093438,62.66306660121093,38.198821796759944,48.09049255441008,51.020945835378825,46.15153002781869,49.7203403698249,59.94714449353624,54.98478154148257,39.504009163802976,66.92554410080183,43.09556537391589,59.91163475699558,35.868433971526755,42.69039437080674,48.37097038127966,42.315823924071346,54.70839469808542,50.85223367697594,53.3856979217804,83.77466863033874,58.630338733431515,44.63541155293733,52.45000818196694,49.632793323514974,40.3241695303551,42.838160693830794,41.12092947144494
COL12A1,86.59233984474963,62.56751684722341,69.81711166083767,73.58329779066791,57.16838693167278,38.892177770195346,70.76669794421223,54.07156871108078,80.54098780175723,84.9645995052461,74.75185532713469,66.75953254286445,111.8646250959652,74.64352128294806,60.180499872046404,63.653586965793735,84.06278256419006,77.98319542779151,41.74144843470101,63.63934146549518,74.17171372515568,68.74562825215389,69.79672438795531,66.92280133071739,61.82112087349655,70.258380960505,51.00742130853877,48.30555318604453,55.46839546191248,48.869316727800054,65.74375159941994,46.79535954960335,60.45287042565896,62.13759276635673,58.46285080610765,57.96016378060224,71.58926895845774,67.90241405783503,73.00102362876397,48.77966390855583,27.820523756717563,51.70110040092126,59.60214962040433,75.34487759106031,62.16540134777787,87.24268531945748,55.25778384372601,48.541158406551226,67.26204896357588,106.33327646506866,90.1096988825386,94.37541584918536,72.01364838351958,89.1514117546703,57.209758594216495,55.61648042309989,50.86471039836219
CNTNAP5,52.82967448902347,40.549394398183196,62.34897804693414,35.916919000757005,32.519492808478425,32.64704769114307,46.28671461014383,33.24867524602574,36.48485995457986,35.98239969719909,35.69095382286147,40.52800908402725,39.47710068130204,64.86828160484481,39.48485995457986,44.331377744133235,60.95287660862983,36.65423921271764,51.39761544284633,35.208364875094624,31.97747918243755,44.707418622255865,39.10257380772142,42.064912944738836,38.72501892505677,54.949848599545795,39.88342165026495,49.64250567751703,51.082702498107494,29.523656320968964,48.99148372445117,30.189250567751703,40.96214988644966,39.49394398183195,34.73410295230886,37.589326267978805,50.71328538985617,45.39307342922029,31.951741105223316,52.536146858440574,34.24829674489023,48.066616199848596,31.929598788796365,34.52384557153672,52.22880393641181,34.284632853898565,41.96025738077214,39.26703255109766,44.72350492051476,69.67354277062832,45.84367903103709,36.39345193035579,42.27346707040121,41.50870552611658,33.98618470855413,34.87623012869039,32.66445874337623
NBEA,45.13508409029589,35.52540696105765,48.67299217555536,33.2860868783164,18.092904038132925,21.94163144167641,31.93677488982822,28.753754834067813,34.05809874988758,30.803849267020414,38.129328176994335,26.256228078064574,41.82390502743053,28.39787750697005,30.1258206673262,34.08471984890728,68.90628653655904,32.67856821656624,34.93038942350931,29.665617411637736,28.64349311988488,28.462631531612555,29.241748358665347,33.65140750067452,35.8585304433852,26.060167281230328,27.722187247054592,65.15891716881015,28.922295170428995,27.393920316575233,37.38465689360554,42.450220343556076,23.86203795305333,34.7354078604191,13.971939922654915,40.079593488623075,41.286626495188415,33.10099829121324,17.663998561021675,51.249123122582965,24.023293461642233,29.050544113679287,33.89603381599065,47.26809964924903,42.43780915549959,25.617771382318555,27.467667955751416,21.04316934976167,33.21449770662829,49.47962946308121,20.45462721467758,22.282759240938933,21.405612015469018,27.457505171328357,29.85214497706628,21.34850256318014,23.595737026711035
SOX11,5.15770157128111,4.048973506136025,6.134075008601904,3.504415643995871,2.8573230875100357,4.193026723248079,5.345337768092671,3.530106663608212,3.9810758114462668,4.119050349810758,4.423557747448102,4.183048514737929,3.781626333295103,5.751118247505448,5.075467370111252,4.191421034522308,3.3457965363000346,5.609817639637573,5.986122261727262,3.5780479412776693,4.189815345796537,4.387085674962725,4.494781511641243,6.490423213671293,4.845624498222273,3.303704553274458,8.17467599495355,3.9533203349007913,3.400160568872577,5.480559697212983,4.998394311274229,3.1611423328363344,3.5780479412776693,4.858125931872921,4.35795389379516,4.8927629315288454,5.290056199105402,5.1878655809152425,4.950453033604771,3.7132698703979816,4.130290170891158,4.064915701341897,3.303704553274458,4.501204266544328,5.3051955499483885,3.5851588484917993,3.302328248652368,4.22582865007455,5.105631379745383,3.5500630806285125,3.8335818327789886,3.857781855717399,3.7300149099667395,3.1657300149099665,3.471269641013878,4.708567496272508,3.709140956531712
SETD1B,0.2772144166157605,1.4502138057422114,1.25717776420281,2.6519242516799024,1.4196701282834454,2.771166768478925,2.8860109957238853,1.9255956017104459,2.490164935858277,3.4183262064752595,2.702382406841784,2.436163714111179,0.43262064752596213,2.3486866218692732,1.399633475870495,2.392791692119731,2.27574832009774,2.14306658521686,2.6299328039095906,1.8483811850946854,3.0229688454489922,2.3059254734270005,3.8625534514355526,3.6350641417226632,3.5534514355528404,2.313133781307269,2.340867440439829,1.7574832009773977,4.098839340256567,1.0184483811850946,3.0067196090409287,3.8073304825901038,1.6740378741600488,2.9171655467318267,1.6138057422113623,2.88613317043372,1.367868051313378,4.032131948686622,3.2238240684178376,0.3213194868662187,1.743188759926695,1.5298717165546731,1.8598656078191815,0.6221136224801466,2.163591936469151,3.5252290775809407,1.66682956627978,2.1797189981673792,3.263164324984728,0.6254123396456933,2.755039706780696,2.560415394013439,1.7940134392180818,4.603420891875381,1.940745265729994,3.1076359193646916,1.2708613317043371
HRNR,121.70778343551908,73.12012885794451,174.3142471162839,83.37036267276318,81.57113166372233,172.22144861269874,110.61134781253247,98.38096227787592,116.55647926841941,112.62496103086356,133.67442585472307,110.29367141224151,89.95552322560532,123.16730749246597,100.90470747168243,111.23443832484672,131.84724098513976,150.66663202743428,216.94242959576016,127.82427517406214,147.66237140184973,121.73729606151927,125.6014756313,123.49537566247533,110.43780525823547,136.62173958225085,118.17208770653642,124.90200561155565,163.7423880286813,113.45017146420035,265.57809414943364,115.06328587758495,88.63452145900447,81.30562194741765,104.51719837888392,88.78883923932246,121.98410059233088,141.19682011846618,88.90283695313312,143.20710797048739,87.01267795905643,104.61592019120856,90.44954795801725,121.90824067338667,106.3458380962278,132.37160968512939,159.54359347396863,110.69427413488518,89.49901278187676,155.04707471682428,165.84162942949183,138.5945131455887,129.5430738854827,118.66309882573002,98.89816065675984,108.6555128338356,104.27496622674842
HYDIN,14.924559023066486,11.767706919945725,7.1454545454545455,9.007055630936227,14.70257801899593,9.575848032564451,11.004884667571234,14.865671641791044,10.80461329715061,10.792401628222525,16.815196743554953,11.994572591587517,20.30203527815468,17.686567164179106,15.222523744911804,13.92157394843962,14.386160108548168,16.28955223880597,11.991858887381275,11.270556309362279,14.380732700135685,13.280054274084124,12.519402985074628,11.298507462686567,15.51506105834464,20.3202170963365,9.733514246947083,12.915603799185888,31.75685210312076,13.216553595658073,16.611126187245592,11.57449118046133,10.213025780189959,8.970963364993215,8.573948439620082,11.801628222523744,11.071641791044776,17.957937584803258,9.04450474898236,11.428222523744912,7.855359565807327,6.969063772048846,9.746811397557666,15.748710990502035,11.544911804613298,16.152510176390773,11.636363636363637,9.430393487109905,17.675440976933515,15.01112618724559,15.536227951153323,15.382089552238806,17.495251017639077,6.203799185888738,11.268113975576663,10.874355495251018,10.904748982360923
PRKDC,54.621215485972314,16.268709749056185,64.19105781330964,104.18335924198682,41.744244577688946,77.16085572581243,30.611000074024723,39.43793026870975,55.07409874898216,46.81686283218595,96.6421644829373,46.324228292249614,99.1424235694722,54.336220297579395,59.35169146494929,47.65748760085869,122.73380709156858,41.50462654526612,74.84284551040048,52.46013768598712,69.91798060552225,49.51424975941965,36.71241394625805,98.69494411133319,44.34140202827744,50.912058627581615,46.3606484565845,66.87808127914724,64.159301206603,34.40980087349175,74.06484565844993,47.88540972684877,70.07639351543415,81.5804278629062,44.23584277148568,77.44570286475683,54.732400621807685,65.46072988378118,44.171293211932785,47.52668591309497,29.54874528092383,35.20763935154341,54.20956399437412,98.74165371233993,55.42112665630321,48.120068102746316,48.94115034421497,54.1086682952106,45.2398401065956,442.05973795247615,85.17662299207936,55.597527574209785,70.5816862832186,99.60182100821675,58.55755422311052,52.89266414982604,36.2609371530091
MYH8,99.73150140705181,77.07796722396954,88.24135076974011,108.50951829167356,61.47425922860454,92.05744082105612,73.73183247806655,98.2994537328257,72.80483363681509,83.5767257076643,59.52243006124814,85.40142360536335,132.58053302433373,89.95811951663632,69.04585333554047,63.20029796391326,109.18887601390499,79.74226121503062,81.04436351597418,114.66263863598742,91.96738950504883,97.4591954974342,120.02317497103128,109.59129283231253,114.31402085747393,90.87286873034266,123.21618937262043,86.58715444462837,88.90332726369806,33.7689124317166,106.10412183413342,87.14831981460023,73.43701373944711,61.731998013573914,62.27098162555868,93.96242343982784,76.08078132759476,117.97367985432875,55.872537659327925,89.50504883297468,101.92716437675881,95.42393643436517,74.68117861281245,143.85168018539977,76.98096341665287,68.07118026816752,82.92435027313358,63.29266677702367,73.26700877338189,109.91557689124318,74.31815924515809,71.68184075484191,66.61645422943221,90.4729349445456,160.82635325277272,67.27114716106605,51.810792915080285
PDZD2,108.0223000683527,54.7546992481203,63.245215311004785,99.74897470950103,106.29947026657553,91.22556390977444,72.91148325358851,67.80767259056732,76.59757347915243,71.6338004101162,114.87918660287082,84.19036226930963,79.544002050581,88.86030416951469,71.59483937115516,65.41592617908407,131.8567156527683,73.62628161312372,111.48222829801777,82.50495557074504,88.54417293233082,90.87816131237184,73.76666097060834,120.76623376623377,76.17250512645249,85.69771018455229,64.88670539986329,78.43053656869446,112.13568010936432,62.38542378673958,102.42216336295283,56.847915242652086,121.06356801093644,120.43515037593986,72.40456254272044,92.89422419685577,99.30468215994532,97.26777170198223,81.05528024606971,82.35637388926862,54.1302973342447,62.93984962406015,112.98855092276145,101.75068352699931,101.66037252221463,85.36978810663021,93.75,79.60244360902256,84.93796992481202,108.1085099111415,99.61662679425838,101.16361927546139,89.04391660970609,132.2781100478469,73.1467874231032,146.0926179084074,71.76298701298701
TNR,41.73557803691405,25.59116534095297,46.0188431539115,24.178778284037378,26.91999382191675,59.07591319793034,35.7039925863001,27.28388292532242,36.396324040466446,31.162174685303885,39.2065796586609,33.88454706927176,30.449069426210517,35.50799289520426,35.2631091203954,34.97026797436096,44.56452235693876,39.277550389991504,43.617422194764075,38.98880222410997,56.82431075758746,36.362035678430765,38.356552629546684,36.30048652405591,31.060854120009267,43.333462043401035,32.261101243339255,40.851803228048496,49.82848096378099,29.919376013591783,35.64383350065642,33.39253996447602,22.41663448914974,27.089891111282725,28.60321260328983,31.368599891883544,56.2479728164337,46.11205498494092,29.212371611707468,44.35307745771874,27.415167194377943,26.51007799830103,30.75874584910032,45.608695652173914,27.290447138775196,41.61858058537339,33.27106340257935,31.479110356012047,29.254923160089582,40.81280407753494,55.0103482894432,37.756660746003554,40.42675110047108,37.91505135531701,31.83458182099004,35.26596648389837,32.544289134296086
CCDC168,0.017702413118419826,0.8999347805832479,1.9057579427932545,0.9804341749743781,0.7248206466039318,1.0836206093356937,1.2622752259386938,0.739355259480108,3.6048635050777973,1.3953694214106027,2.013369980434175,1.8288922016211684,0.04583993291717134,1.316873194819715,0.46934687412652565,1.642085157924159,1.3367651169290973,0.5565079660859032,0.9433522780210566,0.6456722258455232,1.5192863132395416,1.1345849249976707,1.4344544861641666,1.5200782633001024,1.700922388894065,0.5450013975589304,0.9967390291623963,1.9932917171340725,1.1675207304574675,0.6721326749277928,1.4155874406037454,1.995574396720395,0.7537035311655641,1.2043697009223888,1.50004658529768,1.6765116929097177,0.3606633746389639,1.874219696263859,1.1800987608310818,0.014161930494735861,1.3327121960309327,1.161604397652101,1.5337277555203577,0.03186434361315569,1.752632069318923,1.132162489518308,0.3283797633466878,0.9193142644181497,1.1592285474704183,0.017702413118419826,1.0780769589117674,0.4190347526320693,0.5078729153079288,1.0180285102021802,0.9520171433895462,0.6564800149072952,0.8458492499767073
